"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04977","hsa04977","Vitamin digestion and absorption","1/11","24/7911",0.0328901125376907,0.204099078176326,0.177477459283761,"AWAT2",1
"hsa00592","hsa00592","alpha-Linolenic acid metabolism","1/11","25/7911",0.0342389408326165,0.204099078176326,0.177477459283761,"PLA2G2C",1
"hsa04950","hsa04950","Maturity onset diabetes of the young","1/11","26/7911",0.0355860587188509,0.204099078176326,0.177477459283761,"ONECUT1",1
"hsa00591","hsa00591","Linoleic acid metabolism","1/11","29/7911",0.0396171694382313,0.204099078176326,0.177477459283761,"PLA2G2C",1
"hsa04975","hsa04975","Fat digestion and absorption","1/11","41/7911",0.0555889008114758,0.204099078176326,0.177477459283761,"PLA2G2C",1
"hsa00565","hsa00565","Ether lipid metabolism","1/11","47/7911",0.0634838699158559,0.204099078176326,0.177477459283761,"PLA2G2C",1
"hsa00330","hsa00330","Arginine and proline metabolism","1/11","50/7911",0.0674088117918471,0.204099078176326,0.177477459283761,"PYCR1",1
"hsa00590","hsa00590","Arachidonic acid metabolism","1/11","63/7911",0.0842446830975084,0.204099078176326,0.177477459283761,"PLA2G2C",1
"hsa00830","hsa00830","Retinol metabolism","1/11","67/7911",0.0893690803902634,0.204099078176326,0.177477459283761,"AWAT2",1
"hsa04520","hsa04520","Adherens junction","1/11","71/7911",0.0944673960641693,0.204099078176326,0.177477459283761,"NECTIN4",1
"hsa01230","hsa01230","Biosynthesis of amino acids","1/11","75/7911",0.0995397496528266,0.204099078176326,0.177477459283761,"PYCR1",1
"hsa04740","hsa04740","Olfactory transduction","2/11","448/7911",0.125528189161352,0.204099078176326,0.177477459283761,"OR6K3/OR2W3",2
"hsa05150","hsa05150","Staphylococcus aureus infection","1/11","96/7911",0.125748365132022,0.204099078176326,0.177477459283761,"DEFA3",1
"hsa00564","hsa00564","Glycerophospholipid metabolism","1/11","97/7911",0.126978917657108,0.204099078176326,0.177477459283761,"PLA2G2C",1
"hsa04972","hsa04972","Pancreatic secretion","1/11","102/7911",0.133108094462821,0.204099078176326,0.177477459283761,"PLA2G2C",1
"hsa04270","hsa04270","Vascular smooth muscle contraction","1/11","132/7911",0.169068972545751,0.24140081025458,0.209913748047461,"PLA2G2C",1
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","1/11","140/7911",0.178426685840342,0.24140081025458,0.209913748047461,"ONECUT1",1
"hsa04630","hsa04630","JAK-STAT signaling pathway","1/11","162/7911",0.203668562557594,0.252342243933754,0.219428038203265,"IL22RA2",1
"hsa05164","hsa05164","Influenza A","1/11","170/7911",0.212671187650676,0.252342243933754,0.219428038203265,"TMPRSS4",1
"hsa04621","hsa04621","NOD-like receptor signaling pathway","1/11","178/7911",0.221581194017024,0.252342243933754,0.219428038203265,"DEFA3",1
"hsa05202","hsa05202","Transcriptional misregulation in cancer","1/11","186/7911",0.230399440113428,0.252342243933754,0.219428038203265,"DEFA3",1
"hsa04014","hsa04014","Ras signaling pathway","1/11","232/7911",0.279365898158083,0.292064348074359,0.25396899832553,"PLA2G2C",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","1/11","338/7911",0.381602945443889,0.381602945443889,0.331828648212077,"SSTR4",1
